AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,label,sampling_rate
4082.1046,4073.3983,4086.8389,4083.4347,4080.5724,4093.8556,4089.7497,4079.6093,4086.9899,4082.2125,4082.8665,4078.5237,4086.5574,4073.3335,relax,
4074.2091,4082.9635,4071.4764,4078.3941,4082.0492,4079.4049,4086.6001,4084.3967,4078.3886,4088.2893,4080.718,4074.1159,4073.16,4069.802,relax,
4088.8807,4084.8162,4086.7582,4085.6278,4090.7581,4088.3103,4092.793,4089.0048,4092.0925,4090.982,4085.8991,4081.4813,4081.6417,4080.994,relax,
4100.3157,4106.7264,4103.4069,4108.8833,4110.3996,4101.0491,4094.0998,4098.7661,4100.6508,4095.3286,4101.6009,4104.7411,4101.4255,4101.1799,relax,
4115.1216,4122.6446,4115.7455,4110.4056,4108.6886,4113.1113,4104.7827,4109.4488,4112.2055,4113.1767,4119.3241,4114.1822,4120.0288,4114.9852,relax,
4113.9361,4117.9639,4117.2499,4111.6262,4103.7286,4109.96,4103.6301,4102.456,4105.1208,4109.4802,4103.1336,4115.4035,4113.8752,4113.1841,relax,
4104.3399,4102.1349,4097.4316,4096.6737,4101.4636,4092.451,4096.8494,4095.6557,4098.7948,4099.5275,4099.5009,4104.3962,4100.6014,4098.9322,relax,
4081.3312,4090.241,4089.0732,4093.9429,4086.7219,4090.2104,4090.656,4090.5403,4090.1463,4082.8536,4091.4396,4089.5734,4091.8755,4095.1729,relax,
4083.8007,4086.2428,4085.9896,4095.03,4082.0841,4091.389,4084.4365,4079.9935,4081.3626,4083.4819,4091.5374,4082.477,4085.4776,4080.4225,relax,
4098.4438,4091.5922,4101.2706,4092.0276,4092.9407,4096.491,4096.0988,4101.6988,4096.4816,4091.1687,4093.7587,4093.7089,4098.9002,4097.5352,relax,
4106.3349,4108.9934,4103.8335,4104.105,4103.643,4108.6002,4101.2283,4100.2193,4098.3041,4105.6642,4102.2994,4107.3222,4097.9085,4110.9852,relax,
4100.1909,4101.2671,4108.9915,4098.277,4101.7741,4102.0082,4096.9555,4106.3214,4107.7063,4094.2055,4097.819,4107.9901,4099.1643,4103.9641,relax,
4091.9888,4094.7815,4090.9399,4092.7573,4089.9942,4098.4518,4091.6634,4095.0036,4091.2358,4093.5265,4091.7038,4091.1831,4087.959,4094.6562,relax,
4081.994,4079.6699,4080.8402,4083.6226,4087.1282,4085.4161,4086.6247,4089.2317,4084.478,4079.5206,4080.3657,4070.3572,4078.6737,4077.9914,relax,
4078.8607,4077.1718,4079.396,4078.3312,4077.7728,4077.1045,4080.6378,4079.0521,4085.2849,4081.0363,4080.6147,4075.9771,4080.7429,4078.1575,relax,
4085.2301,4087.6968,4086.3352,4082.9639,4093.4602,4095.842,4091.7162,4089.7692,4095.4505,4081.3795,4090.159,4089.0397,4086.5106,4093.3777,relax,
4111.8206,4105.4605,4106.6358,4103.998,4101.5916,4097.9298,4107.7274,4106.3196,4106.3552,4099.2627,4113.8735,4114.9033,4107.2573,4104.3208,relax,
4115.5223,4117.9036,4113.4969,4114.2535,4115.0669,4103.7655,4115.9767,4114.2206,4104.8444,4105.0577,4113.2567,4113.0244,4115.1745,4108.6632,relax,
4112.509,4118.5444,4107.5635,4108.8468,4101.1928,4109.0072,4104.1591,4112.8233,4107.2816,4105.6625,4112.1401,4110.005,4105.9757,4114.6316,relax,
4096.8943,4098.0678,4098.9681,4095.2338,4098.7063,4103.9071,4092.3976,4103.7785,4095.9851,4093.9535,4106.9839,4098.0864,4102.8842,4100.8642,relax,
4078.9896,4087.4299,4084.4338,4082.4024,4082.3288,4090.2364,4093.0113,4092.2129,4088.6039,4086.2216,4083.8222,4084.3144,4082.8144,4084.8989,relax,
4087.0795,4084.6466,4086.9491,4085.8955,4090.3316,4092.731,4092.1214,4093.2975,4084.0946,4088.8347,4090.0438,4090.442,4081.8385,4087.8077,relax,
4103.3127,4097.4741,4097.909,4099.7915,4098.5802,4100.1908,4097.5829,4097.9032,4094.3624,4096.91,4103.0021,4097.4714,4097.5143,4096.521,relax,
4110.0912,4102.2107,4109.7091,4101.0061,4098.7721,4103.3892,4102.2108,4102.8803,4106.8156,4101.3532,4106.5259,4102.4278,4110.666,4109.4723,relax,
4104.6737,4102.4958,4098.863,4099.9126,4102.1848,4099.8398,4099.8893,4093.9551,4100.6409,4097.4099,4096.8887,4101.3866,4094.3183,4105.3219,relax,
4090.8143,4088.2238,4084.1186,4085.3435,4089.8955,4081.1488,4092.2532,4094.189,4089.5962,4088.5224,4089.8529,4089.4963,4092.8141,4087.4798,relax,
4071.6203,4075.1288,4076.8368,4084.9283,4080.8817,4078.8175,4081.2768,4076.3719,4084.3468,4076.7175,4073.7694,4068.2049,4072.5019,4076.653,relax,
4070.4076,4071.0961,4077.9938,4078.3577,4084.7067,4086.7541,4085.3856,4080.2285,4083.2966,4084.979,4077.3905,4071.5309,4082.5051,4073.992,relax,
4090.2371,4092.433,4096.326,4093.7537,4092.0265,4096.2529,4102.4426,4099.4056,4096.2159,4088.8703,4107.7075,4087.4095,4090.8819,4089.0745,relax,
4117.6929,4111.0441,4104.262,4109.2186,4107.9063,4103.8373,4099.0156,4100.9963,4103.3638,4105.8096,4106.0687,4112.9114,4105.5633,4104.2598,relax,
4116.2334,4121.8036,4115.0431,4123.916,4112.8082,4105.2569,4104.7222,4109.0328,4105.204,4120.3405,4110.5892,4120.0595,4122.2486,4118.7542,relax,
4107.1006,4108.1817,4111.3262,4111.5703,4105.8807,4099.4495,4104.013,4101.1503,4096.3175,4102.8636,4102.3374,4112.2247,4117.0506,4118.5191,relax,
4093.0346,4093.5386,4098.1364,4099.7071,4093.8946,4095.0259,4104.478,4095.2205,4093.6552,4096.0492,4097.7808,4091.2947,4094.4145,4090.662,relax,
4084.6774,4094.5233,4089.5741,4087.4622,4085.7334,4088.6286,4094.8939,4088.4443,4095.6759,4083.9713,4086.6721,4093.5782,4078.9842,4090.5441,relax,
4082.0368,4089.8689,4089.2767,4094.051,4079.1849,4084.3941,4090.3259,4092.7376,4088.4925,4090.9196,4086.0091,4088.3618,4086.8421,4090.4184,relax,
4102.8622,4105.7238,4097.5479,4098.3572,4099.0943,4097.5422,4098.151,4092.1103,4100.2089,4095.2426,4095.8013,4093.8211,4104.6361,4099.974,relax,
4110.9347,4106.1856,4098.6964,4099.9346,4105.6473,4099.1393,4097.0137,4100.6576,4101.4942,4098.5681,4102.9648,4103.5959,4094.7364,4108.3474,relax,
4095.8745,4103.9634,4094.2699,4092.1776,4102.7473,4091.5318,4095.0777,4100.0118,4096.5534,4091.3749,4099.2482,4098.0931,4103.8811,4101.4746,relax,
4095.7657,4078.5245,4084.5263,4081.8317,4092.6976,4091.8611,4092.58,4086.4546,4085.5931,4079.9599,4092.9363,4086.6459,4084.0647,4087.3569,relax,
4076.2046,4079.8379,4068.5307,4074.9054,4082.1904,4083.7423,4087.9734,4080.11,4082.8294,4090.23,4080.5284,4078.5071,4075.8601,4076.2715,relax,
4085.2758,4080.6392,4084.3909,4078.1473,4086.8787,4088.8528,4083.6631,4091.0636,4082.5349,4081.2973,4081.6431,4087.223,4081.4492,4081.803,relax,
4093.0728,4096.31,4091.2938,4093.7156,4099.3426,4095.8464,4101.8052,4095.1903,4095.2083,4101.1067,4093.4055,4089.9209,4101.2051,4097.6568,relax,
4105.2605,4111.9488,4110.8724,4117.3164,4104.5536,4104.4297,4101.6775,4101.1028,4103.9508,4101.7259,4106.2122,4106.0612,4105.7816,4107.6826,relax,
4116.7325,4113.3443,4112.0858,4116.1668,4110.4106,4107.9624,4106.009,4114.2364,4110.6495,4112.5045,4103.9095,4114.3768,4107.395,4117.1123,relax,
4110.1162,4104.411,4109.6876,4102.0074,4106.3819,4097.3594,4101.5172,4104.2432,4105.7175,4103.5697,4113.8573,4105.9555,4105.3042,4097.585,relax,
4100.5376,4092.2904,4088.9608,4099.2531,4099.3176,4094.9104,4088.9405,4096.356,4091.9915,4089.6925,4098.1429,4085.1345,4096.0351,4095.2992,relax,
4094.5602,4088.8141,4078.8939,4084.9404,4090.0866,4091.6359,4094.9084,4083.1465,4088.8939,4093.7074,4094.4608,4094.5717,4085.9525,4090.7465,relax,
4098.6041,4097.0586,4094.9914,4095.917,4090.1251,4087.6653,4097.7251,4092.4055,4093.3418,4090.9697,4091.0341,4093.0276,4088.1789,4092.0312,relax,
4103.0397,4101.0194,4098.5965,4103.9909,4107.366,4097.2283,4104.0867,4102.7059,4089.0203,4096.8307,4098.301,4104.6981,4102.0828,4103.9531,relax,
4107.5773,4100.3526,4101.3234,4098.3342,4101.0995,4100.9429,4101.3815,4097.7875,4105.0454,4105.449,4109.4118,4107.1548,4104.6903,4107.7219,relax,
4097.8799,4092.9007,4100.6431,4102.4268,4103.55,4095.8054,4097.0063,4097.3747,4095.6543,4098.1193,4095.068,4094.7105,4102.5439,4096.0997,relax,
4080.5252,4085.6743,4082.1179,4084.5722,4085.6703,4081.6726,4087.6898,4083.2662,4087.3949,4081.1988,4087.0725,4084.5135,4083.268,4079.8566,relax,
4074.4867,4067.7429,4070.2885,4076.8623,4082.5468,4081.7753,4079.9287,4084.481,4080.2781,4076.8914,4078.7752,4073.8359,4080.3889,4075.4836,relax,
4083.9678,4084.1123,4078.846,4080.2808,4080.534,4098.5335,4083.8973,4087.3758,4085.5759,4085.2942,4081.6871,4074.7534,4078.8328,4075.4664,relax,
4099.5452,4096.8292,4096.9794,4100.1053,4096.2623,4102.1597,4096.5625,4099.0078,4093.1302,4101.2209,4097.6211,4101.3631,4100.886,4099.3585,relax,
4116.9658,4112.1433,4119.8728,4115.814,4110.7914,4103.3371,4102.0527,4103.7945,4107.0776,4110.6535,4108.4907,4119.1967,4113.6989,4108.0449,relax,
4116.0369,4104.9648,4113.1762,4111.354,4107.5988,4107.8619,4105.8314,4105.0329,4115.1729,4114.9,4108.9832,4121.1987,4108.8201,4114.6797,relax,
4112.257,4095.9793,4107.6429,4099.111,4101.924,4101.3729,4108.0701,4098.0388,4101.8177,4105.0081,4103.1179,4102.0555,4104.7007,4106.5303,relax,
4095.5771,4088.7437,4090.5611,4094.1244,4092.7975,4092.8834,4093.8732,4091.1579,4090.4257,4095.2291,4088.4523,4097.0191,4093.3852,4086.9347,relax,
4088.4654,4089.0424,4091.0753,4093.7021,4088.9877,4087.9689,4089.0694,4087.569,4087.8142,4091.5913,4089.1277,4086.0612,4085.4203,4088.7249,relax,
4091.978,4090.0657,4093.539,4093.3296,4090.4299,4098.0994,4098.3359,4095.1155,4095.3148,4096.8193,4094.2638,4097.7108,4100.8503,4094.3064,relax,
4104.7377,4105.6333,4101.0664,4097.0681,4104.0891,4093.911,4106.7832,4103.1096,4100.9368,4100.6695,4108.5868,4098.6336,4097.4987,4100.5841,relax,
4102.0464,4098.2165,4103.1416,4102.2187,4097.2845,4106.6684,4094.1204,4094.5818,4101.7606,4099.71,4103.3458,4100.0502,4098.109,4100.5114,relax,
4088.9069,4094.2643,4090.0702,4095.5588,4095.5627,4097.5472,4097.3364,4096.8709,4096.4642,4091.1437,4091.4655,4084.6695,4093.3313,4088.9462,relax,
4079.0313,4081.764,4073.5027,4077.0847,4082.7147,4082.7847,4087.0091,4081.7194,4085.0438,4077.3581,4072.5197,4081.7778,4074.4329,4075.1855,relax,
4067.5603,4070.3267,4073.4559,4076.1433,4085.3574,4084.1359,4083.115,4087.1902,4086.8041,4083.0722,4076.1585,4079.1258,4083.0363,4075.8719,relax,
4091.5215,4089.5325,4088.7591,4082.3903,4084.1466,4088.8653,4083.3103,4087.6163,4092.5326,4085.9402,4088.8838,4079.9587,4083.8515,4088.5325,relax,
4104.7406,4104.1189,4110.093,4107.5125,4097.5528,4106.0155,4097.6504,4100.0411,4100.8048,4105.3524,4097.8082,4105.0815,4105.0539,4107.1526,relax,
4116.8456,4119.0983,4113.106,4117.9379,4111.2887,4103.4119,4108.909,4107.9945,4107.5897,4106.9348,4112.3889,4110.1835,4121.8476,4113.174,relax,
4113.9964,4118.7442,4117.3304,4115.3942,4115.2774,4107.1364,4102.5476,4110.1107,4111.5701,4107.903,4107.4509,4119.9469,4116.468,4111.1477,relax,
4106.9097,4097.0911,4101.2361,4097.7386,4098.4342,4097.3407,4097.5975,4102.9478,4101.8523,4103.5004,4106.6012,4101.6758,4103.1746,4105.9424,relax,
4097.9096,4095.269,4097.0022,4096.142,4097.0819,4085.9109,4096.9664,4094.2947,4093.2664,4090.7439,4090.365,4093.1407,4095.0326,4085.0915,relax,
4089.5008,4087.2702,4085.4149,4091.6732,4089.9673,4088.9409,4089.0901,4093.2919,4091.5369,4086.9156,4086.7387,4088.4881,4091.1335,4084.4295,relax,
4097.9524,4092.704,4106.911,4092.236,4092.8395,4096.776,4092.3905,4099.3105,4103.2057,4094.4495,4096.6911,4093.929,4095.9999,4101.7269,relax,
4106.8376,4098.7725,4108.8634,4106.4568,4102.5923,4097.7195,4100.0384,4096.5937,4102.2268,4099.3809,4092.8687,4106.3846,4103.1552,4107.5746,relax,
4100.0659,4100.8112,4104.7031,4101.2397,4100.1028,4111.6239,4097.7215,4099.0743,4105.7025,4095.7308,4095.5245,4094.5135,4102.192,4103.1131,relax,
4090.8388,4083.4339,4092.5465,4094.2874,4090.4094,4091.254,4094.4763,4093.2425,4093.6916,4086.4543,4088.7998,4083.6732,4091.3732,4089.9937,relax,
4074.8232,4078.8995,4070.655,4082.8065,4080.8308,4084.0473,4089.6551,4082.1676,4088.32,4083.1961,4079.4876,4079.1052,4072.7242,4077.5949,relax,
4074.6323,4081.125,4075.2481,4077.2557,4083.6457,4082.7943,4080.065,4083.985,4088.1023,4081.7948,4075.2271,4078.9791,4069.5661,4065.9052,relax,
4088.1419,4089.8232,4089.6674,4086.1557,4090.3794,4085.7002,4092.8007,4085.4611,4090.6981,4092.0277,4082.7003,4086.6958,4092.2521,4094.3544,relax,
4101.44,4107.4408,4101.5956,4099.7836,4109.716,4105.5462,4098.7403,4102.8332,4105.4413,4104.0569,4114.1538,4108.9625,4094.1092,4106.295,relax,
4115.7514,4115.1574,4116.9357,4111.5536,4106.1869,4115.0722,4110.1922,4105.1198,4112.3372,4113.2272,4119.2274,4112.6606,4119.0935,4116.2665,relax,
4119.6455,4111.9725,4104.4162,4111.3617,4101.0395,4106.5466,4105.6604,4104.2879,4101.4675,4103.7133,4107.8419,4112.5108,4117.8963,4117.8616,relax,
4099.7267,4106.0371,4095.694,4103.2325,4098.893,4100.3146,4101.4739,4096.2017,4102.5739,4099.5567,4110.1396,4099.9492,4106.0183,4104.2038,relax,
4085.8831,4096.6726,4086.7716,4082.7357,4095.9442,4097.0236,4093.3895,4092.1373,4099.0825,4095.3784,4089.0403,4093.9394,4086.2569,4088.3438,relax,
4085.9302,4082.0385,4085.8947,4096.1971,4087.8549,4090.2807,4088.3061,4096.4125,4092.4856,4094.2092,4090.885,4085.9198,4086.9428,4093.4837,relax,
4097.4634,4100.5875,4084.9072,4101.7948,4095.1077,4105.7072,4094.8373,4096.9934,4099.6573,4093.5803,4100.8454,4094.9767,4102.6463,4100.8658,relax,
4104.8792,4099.1722,4101.5026,4102.7169,4092.2805,4097.931,4103.3385,4094.5135,4105.2539,4097.9006,4102.8103,4097.7542,4104.0065,4104.7475,relax,
4102.2384,4102.906,4102.5716,4098.19,4092.1788,4102.3108,4091.6638,4095.1255,4099.9642,4098.8577,4103.7266,4097.5413,4090.7295,4096.5919,relax,
4084.9775,4084.2851,4090.8686,4085.6345,4082.7566,4090.8359,4085.3155,4096.7058,4090.0491,4082.8869,4090.9426,4094.6957,4077.6713,4087.8935,relax,
4075.6381,4077.0805,4076.8592,4080.1292,4078.9573,4088.2652,4079.007,4092.2393,4088.732,4076.9848,4078.14,4081.1653,4074.4138,4073.0524,relax,
4074.6171,4083.2693,4075.3777,4080.142,4085.5059,4083.3055,4082.2521,4080.3516,4078.0629,4078.6258,4073.2991,4074.9009,4079.8002,4076.4429,relax,
4088.7489,4088.4567,4088.3975,4087.2928,4088.532,4096.4907,4088.3304,4094.0181,4091.1611,4103.1873,4085.6566,4093.1442,4091.1938,4088.9709,relax,
4111.8743,4109.4822,4105.1688,4109.3959,4106.9093,4110.006,4101.1591,4109.4808,4103.9808,4097.4486,4109.7832,4109.118,4105.3305,4114.3465,relax,
4117.2682,4120.4437,4116.9715,4117.525,4113.5369,4111.7855,4103.9123,4111.7193,4109.9798,4118.828,4116.4384,4120.3068,4113.3165,4117.5301,relax,
4113.5792,4106.4473,4107.1358,4109.3195,4106.6916,4107.1237,4109.4084,4103.3386,4109.0389,4106.4245,4108.9778,4112.8452,4102.8583,4113.4577,relax,
4097.1538,4095.5426,4091.8623,4097.1939,4090.8626,4101.7046,4096.9703,4091.1993,4095.53,4101.3922,4096.5859,4098.2854,4097.7853,4099.1937,relax,
4083.7011,4090.9783,4088.7077,4103.4152,4091.628,4090.8776,4097.094,4092.5159,4093.7134,4088.9836,4097.821,4088.4294,4092.6615,4095.0296,relax,
4090.5203,4092.2491,4094.4253,4095.3214,4088.9121,4094.1689,4090.0025,4090.8025,4090.8494,4098.1364,4098.977,4102.5011,4092.0235,4088.3727,relax,
4095.0922,4105.0436,4092.579,4097.1082,4095.6366,4104.7821,4093.4911,4101.9511,4103.0355,4097.2338,4100.2381,4092.5776,4098.2609,4098.11,relax,
4091.584,4102.8556,4102.8508,4093.9484,4094.1284,4096.5442,4096.9525,4097.8437,4095.7089,4095.7461,4101.9479,4099.5291,4100.7668,4100.9836,relax,
4096.294,4094.0322,4098.0341,4095.1841,4098.5738,4100.0674,4089.36,4098.8899,4102.2104,4091.1276,4094.6446,4093.1591,4096.4127,4096.5451,relax,
4078.3234,4088.0508,4078.7738,4083.4472,4090.4948,4094.8141,4086.1497,4091.3295,4087.8805,4080.0706,4080.1797,4077.3815,4080.7873,4079.3335,relax,
4073.0241,4080.7936,4076.4492,4088.1421,4080.2502,4085.3044,4085.652,4090.0207,4080.6325,4084.6049,4084.0461,4071.8761,4075.3833,4074.9295,relax,
4076.9263,4077.2446,4087.3831,4081.2137,4091.8422,4083.5655,4086.1576,4090.1745,4084.7751,4081.3104,4079.2527,4081.1428,4078.0811,4079.0176,relax,
4086.9709,4093.7675,4095.2788,4093.9494,4092.0257,4092.466,4096.2821,4101.9482,4090.4063,4094.895,4099.9082,4097.3378,4095.625,4094.1971,relax,
4113.3688,4110.8336,4103.1846,4106.9894,4099.2837,4111.5536,4108.2948,4101.8512,4109.6089,4116.8766,4107.3603,4117.1275,4112.6878,4112.3689,relax,
4114.6821,4114.1093,4115.6776,4105.2215,4112.9095,4108.5765,4109.852,4106.3381,4121.8565,4104.1585,4110.7523,4120.0781,4125.7669,4115.1361,relax,
4118.5621,4105.7477,4115.1991,4108.4978,4114.6769,4112.2751,4101.3366,4115.6703,4100.6505,4104.5025,4115.4278,4107.0865,4106.8504,4111.7677,relax,
4099.9267,4099.4114,4094.9646,4098.4809,4099.9044,4103.286,4098.4133,4092.0888,4097.3837,4094.8723,4102.9695,4091.2457,4100.1016,4093.8551,relax,
4095.8788,4094.5003,4092.0846,4093.8522,4091.3184,4095.5774,4093.0926,4096.2159,4093.1086,4082.7412,4089.7778,4097.2773,4097.2259,4091.2088,relax,
4092.8194,4092.3038,4096.0599,4096.175,4090.3707,4097.0407,4099.5398,4090.7888,4093.6468,4096.1413,4096.7499,4091.8556,4091.53,4091.468,relax,
4101.3003,4101.0247,4099.381,4093.5506,4094.0461,4100.8029,4093.0705,4098.8603,4096.8124,4095.9971,4099.1143,4106.1641,4100.4635,4098.5767,relax,
4094.429,4101.8527,4104.5235,4101.8875,4103.4302,4100.4999,4093.0346,4098.0679,4100.6929,4101.6504,4097.4857,4099.7232,4101.2672,4105.4076,relax,
4095.0824,4094.2394,4093.0415,4087.9481,4088.4355,4092.6695,4097.5983,4095.0134,4095.2813,4086.8331,4086.2026,4095.9361,4091.5156,4085.8067,relax,
4081.6775,4081.3232,4091.3828,4086.7191,4085.9621,4084.6849,4087.6466,4086.3068,4079.5341,4088.2854,4082.8185,4068.5581,4077.7489,4074.8339,relax,
4076.7814,4075.4587,4080.6588,4071.1202,4076.8859,4086.3831,4081.3452,4079.7315,4080.008,4078.1497,4079.6436,4079.1819,4069.2872,4071.6947,relax,
4081.6579,4083.6576,4086.0859,4084.9602,4084.4654,4082.913,4081.2137,4087.0281,4087.4182,4090.4715,4082.9697,4092.0477,4083.0229,4079.6676,relax,
4101.3932,4095.5241,4100.3968,4090.8403,4101.1817,4098.5892,4098.8551,4098.6321,4093.2275,4094.8829,4105.3624,4101.5396,4097.0173,4101.5552,relax,
4117.1534,4120.9977,4118.4021,4113.2627,4106.6977,4114.8483,4105.7455,4102.6697,4102.8325,4105.0448,4110.1617,4117.0223,4116.8325,4120.1268,relax,
4119.2274,4119.2276,4125.8435,4117.7335,4116.8854,4103.5267,4104.7928,4104.7556,4098.8611,4110.7686,4119.6622,4114.665,4116.6834,4115.1993,relax,
4107.3143,4108.8287,4103.4356,4111.3211,4096.825,4105.2577,4100.9403,4108.8628,4107.0161,4096.1634,4096.9354,4104.2133,4105.6786,4108.5252,relax,
4096.9965,4099.4648,4091.3415,4089.4982,4097.5702,4095.0814,4096.0418,4093.888,4095.8325,4102.5064,4090.2073,4091.9034,4099.3369,4103.1452,relax,
4090.5566,4086.8828,4083.7444,4093.3455,4088.0453,4101.9298,4102.9636,4094.5024,4095.1694,4092.571,4096.8705,4091.7366,4092.1871,4096.8208,relax,
4097.2832,4103.449,4088.3289,4092.8004,4091.6026,4098.6342,4093.3904,4097.7741,4090.5911,4094.8408,4104.2107,4101.4296,4087.4109,4096.2368,relax,
4103.3184,4097.5578,4095.2825,4101.8584,4098.9716,4100.618,4097.4546,4107.4114,4094.7525,4096.5843,4101.27,4102.619,4094.0166,4105.2023,relax,
4092.3935,4097.9845,4096.8198,4094.9503,4101.9576,4087.9474,4094.2344,4093.5465,4100.8352,4103.6263,4100.8827,4103.629,4089.0606,4098.8804,relax,
4082.0875,4087.1254,4089.2688,4089.6742,4096.1396,4083.0572,4088.2993,4085.7197,4084.4166,4094.6597,4090.0254,4094.5165,4093.3661,4087.8922,relax,
4071.9451,4082.2119,4074.6713,4075.0612,4078.4855,4084.3816,4090.5704,4085.7187,4088.7919,4083.4525,4078.1531,4088.3224,4085.529,4076.6112,relax,
4070.1912,4069.7815,4076.9239,4076.994,4083.4808,4083.8042,4086.0555,4088.8793,4083.7689,4078.719,4074.9338,4077.6509,4071.9303,4076.3934,relax,
4087.7773,4086.0745,4082.6812,4080.0311,4084.4133,4082.8486,4090.3454,4088.4695,4085.6697,4092.3996,4087.6538,4085.9973,4088.4825,4089.0664,relax,
4097.1482,4105.4791,4095.719,4098.8701,4104.8867,4103.3006,4102.5899,4100.6593,4106.1876,4094.6749,4100.827,4103.1442,4110.7935,4107.6657,relax,
4121.3714,4111.6261,4124.5189,4114.8614,4105.5556,4118.112,4101.3255,4103.5584,4107.7946,4105.6576,4115.083,4116.6273,4115.1256,4124.7929,relax,
4111.2251,4120.6152,4112.7214,4119.2574,4117.5479,4118.2628,4106.5536,4102.6626,4110.3683,4109.7135,4106.3573,4118.9622,4111.4589,4123.529,relax,
4111.2482,4104.8957,4106.6212,4104.1397,4101.4584,4115.2258,4098.1767,4102.1429,4106.7984,4101.7507,4102.5958,4101.1601,4110.7892,4110.2355,relax,
4097.8704,4089.9566,4098.0057,4097.1338,4094.6418,4090.4874,4095.7684,4092.5118,4096.3145,4096.2474,4094.6399,4099.5195,4095.7276,4098.107,relax,
4093.8538,4096.6712,4088.6295,4091.5629,4097.2433,4094.3222,4098.5169,4096.9946,4091.9294,4097.0773,4091.9142,4096.3122,4100.0536,4096.5465,relax,
